id,name,description,uri,code,alt_names,collection,vocabulary
role_ctt,Contestee-appellant,A contestee who takes an appeal from one court or jurisdiction to another to reverse the judgment,http://id.loc.gov/vocabulary/relators/ctt,ctt,"","",MARC Code List for Relators Scheme
role_cnd,Conductor,"A performer contributing to a musical resource by leading a performing group (orchestra, chorus, opera, etc.) in a musical or dramatic presentation, etc.",http://id.loc.gov/vocabulary/relators/cnd,cnd,"",Contributor,MARC Code List for Relators Scheme
role_cor,Collection registrar,A curator who lists or inventories the items in an aggregate work such as a collection of items or works,http://id.loc.gov/vocabulary/relators/cor,cor,"",Other,MARC Code List for Relators Scheme
role_rpt,Reporter,A person or organization who writes or presents reports of news or current events on air or in print,http://id.loc.gov/vocabulary/relators/rpt,rpt,"","",MARC Code List for Relators Scheme
role_edt,Editor,"A person, family, or organization contributing to a resource by revising or elucidating the content, e.g., adding an introduction, notes, or other critical matter. An editor may also prepare a resource for production, publication, or distribution. For major revisions, adaptations, etc., that substantially change the nature and content of the original work, resulting in a new work, see author",http://id.loc.gov/vocabulary/relators/edt,edt,"",Contributor,MARC Code List for Relators Scheme
role_trc,Transcriber,"A person, family, or organization contributing to a resource by changing it from one system of notation to another. For a work transcribed for a different instrument or performing group, see Arranger [arr]. For makers of pen-facsimiles, use Facsimilist [fac]",http://id.loc.gov/vocabulary/relators/trc,trc,"",Contributor,MARC Code List for Relators Scheme
role_med,Medium,A person held to be a channel of communication between the earthly world and a world,http://id.loc.gov/vocabulary/relators/med,med,"",Other,MARC Code List for Relators Scheme
role_sht,Supporting host,"A person or organization that supports (by allocating facilities, staff, or other resources) a project, program, meeting, event, data objects, material culture objects, or other entities capable of support",http://id.loc.gov/vocabulary/relators/sht,sht,"Host, supporting","",MARC Code List for Relators Scheme
role_apl,Appellant,A person or organization who appeals a lower court's decision,http://id.loc.gov/vocabulary/relators/apl,apl,"",Other,MARC Code List for Relators Scheme
role_dln,Delineator,A person or organization executing technical drawings from others' designs,http://id.loc.gov/vocabulary/relators/dln,dln,"","",MARC Code List for Relators Scheme
role_wit,Witness,"voice for characters in radio and audio productions and for animated characters in moving image works, as well as by providing voice overs in radio and television commercials, dubbed resources, etc.",http://id.loc.gov/vocabulary/relators/wit,wit,Deponent|Eyewitness|Observer|Onlooker|Testifier,"",MARC Code List for Relators Scheme
role_pbd,Publishing director,"A person or organization who presides over the elaboration of a collective work to ensure its coherence or continuity. This includes editors-in-chief, literary editors, editors of series, etc.",http://id.loc.gov/vocabulary/relators/pbd,pbd,"","",MARC Code List for Relators Scheme
role_mcp,Music copyist,A person who transcribes or copies musical notation,http://id.loc.gov/vocabulary/relators/mcp,mcp,"","",MARC Code List for Relators Scheme
role_frg,Forger,"A person or organization who makes or imitates something of value or importance, especially with the intent to defraud",http://id.loc.gov/vocabulary/relators/frg,frg,Copier|Counterfeiter,"",MARC Code List for Relators Scheme
role_dpc,Depicted,"An entity depicted or portrayed in a work, particularly in a work of art",http://id.loc.gov/vocabulary/relators/dpc,dpc,"","",MARC Code List for Relators Scheme
role_rps,Repository,"An organization that hosts data or material culture objects and provides services to promote long term, consistent and shared use of those data or objects",http://id.loc.gov/vocabulary/relators/rps,rps,"","",MARC Code List for Relators Scheme
role_enj,Enacting jurisdiction,"A jurisdiction enacting a law, regulation, constitution, court rule, etc.",http://id.loc.gov/vocabulary/relators/enj,enj,"",Creator,MARC Code List for Relators Scheme
role_ann,Annotator,A person who makes manuscript annotations on an item,http://id.loc.gov/vocabulary/relators/ann,ann,"",Other,MARC Code List for Relators Scheme
role_uvp,University place,"A place where a university that is associated with a resource is located, for example, a university where an academic dissertation or thesis was presented",http://id.loc.gov/vocabulary/relators/uvp,uvp,"","",MARC Code List for Relators Scheme
role_att,Attributed name,"An author, artist, etc., relating him/her to a resource for which there is or once was substantial authority for designating that person as author, creator, etc. of the work indicative of provenance",http://id.loc.gov/vocabulary/relators/att,att,Supposed name,"",MARC Code List for Relators Scheme
